experiment_id,model,method,bit_width,paper_id,dataset,metric,paper_value,amd_value,nvidia_value,amd_diff_pct,nvidia_diff_pct,amd_verdict,nvidia_verdict
2524,meta-llama/Llama-3.1-8B,fp16,16,paretoq,arc_challenge,accuracy,,54.9488,,,,no_paper_ref,
2524,meta-llama/Llama-3.1-8B,fp16,16,paretoq,arc_easy,accuracy,,82.5337,,,,no_paper_ref,
2524,meta-llama/Llama-3.1-8B,fp16,16,paretoq,hellaswag,accuracy,,79.3069,,,,no_paper_ref,
2524,meta-llama/Llama-3.1-8B,fp16,16,paretoq,piqa,accuracy,,81.1752,,,,no_paper_ref,
2524,meta-llama/Llama-3.1-8B,fp16,16,paretoq,winogrande,accuracy,,74.5067,,,,no_paper_ref,
2633,facebook/opt-iml-30b,fp16,16,smoothquant,hellaswag,accuracy,,70.7329,,,,no_paper_ref,
2633,facebook/opt-iml-30b,fp16,16,smoothquant,lambada,accuracy,69.1200,68.5038,,-0.89,,matching,
2633,facebook/opt-iml-30b,fp16,16,smoothquant,piqa,accuracy,,78.2372,,,,no_paper_ref,
2633,facebook/opt-iml-30b,fp16,16,smoothquant,winogrande,accuracy,,67.7190,,,,no_paper_ref,
2657,facebook/opt-iml-30b,llmint8,8,smoothquant,hellaswag,accuracy,,70.7329,,,,no_paper_ref,
2657,facebook/opt-iml-30b,llmint8,8,smoothquant,lambada,accuracy,69.1400,68.5038,,-0.92,,matching,
2657,facebook/opt-iml-30b,llmint8,8,smoothquant,piqa,accuracy,,78.2372,,,,no_paper_ref,
2657,facebook/opt-iml-30b,llmint8,8,smoothquant,winogrande,accuracy,,67.7190,,,,no_paper_ref,
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,hellaswag,accuracy,,70.7528,,,,no_paper_ref,
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,lambada,accuracy,69.7700,68.5814,,-1.70,,matching,
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,piqa,accuracy,,78.4004,,,,no_paper_ref,
2656,facebook/opt-iml-30b,smoothquant,8,smoothquant,winogrande,accuracy,,67.9558,,,,no_paper_ref,
